,Name,Win %,patch
0,AatroxAatrox,53.91%,13.6
1,AhriAhri,52.73%,13.6
2,AkaliAkali,46.84%,13.6
3,AkaliAkali,45.31%,13.6
4,AkshanAkshan,61.29%,13.6
5,AkshanAkshan,46.34%,13.6
6,AlistarAlistar,53.45%,13.6
7,AmumuAmumu,65.63%,13.6
8,AmumuAmumu,54.76%,13.6
9,AniviaAnivia,47.62%,13.6
10,AnnieAnnie,55.86%,13.6
11,AnnieAnnie,52.79%,13.6
12,ApheliosAphelios,55.09%,13.6
13,AsheAshe,57.65%,13.6
14,AsheAshe,46.94%,13.6
15,Aurelion SolAurelion Sol,49.55%,13.6
16,AzirAzir,33.33%,13.6
17,BardBard,50.00%,13.6
18,Bel'VethBel'Veth,56.41%,13.6
19,BlitzcrankBlitzcrank,52.94%,13.6
20,BrandBrand,55.00%,13.6
21,BraumBraum,48.00%,13.6
22,CaitlynCaitlyn,49.51%,13.6
23,CamilleCamille,50.26%,13.6
24,CassiopeiaCassiopeia,58.09%,13.6
25,CassiopeiaCassiopeia,72.73%,13.6
26,Cho'GathCho'Gath,59.50%,13.6
27,Cho'GathCho'Gath,55.26%,13.6
28,Cho'GathCho'Gath,54.17%,13.6
29,CorkiCorki,51.52%,13.6
30,DariusDarius,51.49%,13.6
31,DianaDiana,51.68%,13.6
32,DianaDiana,37.78%,13.6
33,Dr. MundoDr. Mundo,60.00%,13.6
34,Dr. MundoDr. Mundo,45.45%,13.6
35,DravenDraven,47.51%,13.6
36,EkkoEkko,53.91%,13.6
37,EkkoEkko,45.45%,13.6
38,EliseElise,55.73%,13.6
39,EvelynnEvelynn,50.43%,13.6
40,EzrealEzreal,51.90%,13.6
41,FiddlesticksFiddlesticks,59.35%,13.6
42,FioraFiora,50.96%,13.6
43,FizzFizz,52.00%,13.6
44,GalioGalio,72.73%,13.6
45,GalioGalio,50.89%,13.6
46,GangplankGangplank,42.76%,13.6
47,GarenGaren,57.38%,13.6
48,GnarGnar,46.28%,13.6
49,GragasGragas,52.59%,13.6
50,GragasGragas,54.48%,13.6
51,GragasGragas,49.45%,13.6
52,GravesGraves,48.21%,13.6
53,GwenGwen,55.47%,13.6
54,HecarimHecarim,49.81%,13.6
55,HeimerdingerHeimerdinger,48.48%,13.6
56,HeimerdingerHeimerdinger,54.05%,13.6
57,HeimerdingerHeimerdinger,52.17%,13.6
58,IllaoiIllaoi,48.51%,13.6
59,IreliaIrelia,50.60%,13.6
60,IreliaIrelia,51.02%,13.6
61,IvernIvern,56.00%,13.6
62,JannaJanna,50.00%,13.6
63,Jarvan IVJarvan IV,58.25%,13.6
64,JaxJax,51.85%,13.6
65,JayceJayce,52.94%,13.6
66,JayceJayce,53.33%,13.6
67,JhinJhin,48.86%,13.6
68,JinxJinx,50.65%,13.6
69,K'SanteK'Sante,43.98%,13.6
70,K'SanteK'Sante,43.55%,13.6
71,Kai'SaKai'Sa,51.35%,13.6
72,KalistaKalista,59.34%,13.6
73,KarmaKarma,53.85%,13.6
74,KarmaKarma,37.93%,13.6
75,KarthusKarthus,56.10%,13.6
76,KarthusKarthus,51.38%,13.6
77,KarthusKarthus,44.44%,13.6
78,KassadinKassadin,56.84%,13.6
79,KatarinaKatarina,46.63%,13.6
80,KayleKayle,58.62%,13.6
81,KayleKayle,50.65%,13.6
82,KaynKayn,46.75%,13.6
83,KennenKennen,70.00%,13.6
84,KennenKennen,51.08%,13.6
85,Kha'ZixKha'Zix,55.32%,13.6
86,KindredKindred,58.87%,13.6
87,KledKled,51.25%,13.6
88,Kog'MawKog'Maw,46.15%,13.6
89,LeBlancLeBlanc,50.68%,13.6
90,Lee SinLee Sin,49.55%,13.6
91,LeonaLeona,52.38%,13.6
92,LilliaLillia,54.55%,13.6
93,LissandraLissandra,54.26%,13.6
94,LucianLucian,60.19%,13.6
95,LuluLulu,51.93%,13.6
96,LuxLux,47.31%,13.6
97,LuxLux,47.43%,13.6
98,MalphiteMalphite,51.76%,13.6
99,MalzaharMalzahar,53.66%,13.6
100,MaokaiMaokai,52.27%,13.6
101,Master YiMaster Yi,49.66%,13.6
102,MilioMilio,55.38%,13.6
103,Miss FortuneMiss Fortune,46.23%,13.6
104,MordekaiserMordekaiser,47.56%,13.6
105,MorganaMorgana,50.77%,13.6
106,NamiNami,53.21%,13.6
107,NasusNasus,47.27%,13.6
108,NasusNasus,35.00%,13.6
109,NautilusNautilus,50.33%,13.6
110,NeekoNeeko,0.00%,13.6
111,NidaleeNidalee,50.75%,13.6
112,NilahNilah,35.00%,13.6
113,NocturneNocturne,57.47%,13.6
114,NunuNunu,46.74%,13.6
115,OlafOlaf,61.61%,13.6
116,OlafOlaf,42.86%,13.6
117,OriannaOrianna,60.23%,13.6
118,OrnnOrnn,47.56%,13.6
119,PantheonPantheon,57.58%,13.6
120,PantheonPantheon,57.14%,13.6
121,PantheonPantheon,58.21%,13.6
122,PantheonPantheon,48.48%,13.6
123,PoppyPoppy,58.14%,13.6
124,PoppyPoppy,50.00%,13.6
125,PykePyke,44.94%,13.6
126,QiyanaQiyana,70.00%,13.6
127,QiyanaQiyana,43.62%,13.6
128,QuinnQuinn,53.06%,13.6
129,RakanRakan,56.63%,13.6
130,RammusRammus,51.28%,13.6
131,Rek'SaiRek'Sai,65.59%,13.6
132,RellRell,42.11%,13.6
133,Renata GlascRenata Glasc,57.47%,13.6
134,RenektonRenekton,48.53%,13.6
135,RenektonRenekton,33.33%,13.6
136,RengarRengar,52.03%,13.6
137,RengarRengar,54.76%,13.6
138,RivenRiven,53.51%,13.6
139,RumbleRumble,64.00%,13.6
140,RumbleRumble,57.14%,13.6
141,RumbleRumble,57.41%,13.6
142,RyzeRyze,51.43%,13.6
143,SamiraSamira,54.07%,13.6
144,SejuaniSejuani,50.51%,13.6
145,SennaSenna,55.10%,13.6
146,SeraphineSeraphine,65.38%,13.6
147,SeraphineSeraphine,56.00%,13.6
148,SeraphineSeraphine,45.33%,13.6
149,SettSett,50.50%,13.6
150,ShacoShaco,39.36%,13.6
151,ShenShen,49.58%,13.6
152,ShyvanaShyvana,38.24%,13.6
153,SingedSinged,61.82%,13.6
154,SionSion,49.32%,13.6
155,SionSion,48.57%,13.6
156,SivirSivir,50.89%,13.6
157,SkarnerSkarner,56.41%,13.6
158,SonaSona,47.46%,13.6
159,SorakaSoraka,51.26%,13.6
160,SwainSwain,46.15%,13.6
161,SylasSylas,52.53%,13.6
162,SylasSylas,57.14%,13.6
163,SylasSylas,48.98%,13.6
164,SyndraSyndra,50.66%,13.6
165,Tahm KenchTahm Kench,0.00%,13.6
166,TaliyahTaliyah,50.00%,13.6
167,TalonTalon,54.29%,13.6
168,TalonTalon,58.89%,13.6
169,TaricTaric,60.26%,13.6
170,TeemoTeemo,58.06%,13.6
171,ThreshThresh,51.46%,13.6
172,TristanaTristana,54.55%,13.6
173,TristanaTristana,46.55%,13.6
174,TrundleTrundle,0.00%,13.6
175,TryndamereTryndamere,50.85%,13.6
176,TryndamereTryndamere,40.00%,13.6
177,Twisted FateTwisted Fate,47.37%,13.6
178,TwitchTwitch,59.21%,13.6
179,TwitchTwitch,63.64%,13.6
180,UdyrUdyr,62.03%,13.6
181,UrgotUrgot,36.00%,13.6
182,VarusVarus,55.24%,13.6
183,VarusVarus,55.56%,13.6
184,VayneVayne,51.39%,13.6
185,VayneVayne,52.54%,13.6
186,VeigarVeigar,47.71%,13.6
187,VeigarVeigar,44.57%,13.6
188,Vel'KozVel'Koz,56.00%,13.6
189,Vel'KozVel'Koz,50.00%,13.6
190,VexVex,51.16%,13.6
191,ViVi,52.11%,13.6
192,ViegoViego,48.01%,13.6
193,ViktorViktor,54.55%,13.6
194,VladimirVladimir,52.89%,13.6
195,VladimirVladimir,48.05%,13.6
196,VolibearVolibear,47.62%,13.6
197,WarwickWarwick,48.78%,13.6
198,WarwickWarwick,48.57%,13.6
199,WukongWukong,49.53%,13.6
200,WukongWukong,63.16%,13.6
201,XayahXayah,52.01%,13.6
202,XerathXerath,54.17%,13.6
203,XerathXerath,40.63%,13.6
204,Xin ZhaoXin Zhao,58.97%,13.6
205,YasuoYasuo,46.64%,13.6
206,YasuoYasuo,50.79%,13.6
207,YasuoYasuo,42.22%,13.6
208,YoneYone,51.07%,13.6
209,YoneYone,51.25%,13.6
210,YorickYorick,46.75%,13.6
211,YuumiYuumi,49.81%,13.6
212,ZacZac,55.88%,13.6
213,ZedZed,41.39%,13.6
214,ZedZed,47.46%,13.6
215,ZeriZeri,52.76%,13.6
216,ZiggsZiggs,47.62%,13.6
217,ZiggsZiggs,36.00%,13.6
218,ZileanZilean,50.98%,13.6
219,ZoeZoe,59.80%,13.6
220,ZyraZyra,62.71%,13.6
